Local Time,Demand
18Jan2023 19:00:00,"34,095"
18Jan2023 20:00:00,"34,509"
18Jan2023 21:00:00,"34,073"
18Jan2023 22:00:00,"33,274"
18Jan2023 23:00:00,"32,127"
19Jan2023 0:00:00,"30,124"
19Jan2023 1:00:00,"28,488"
19Jan2023 2:00:00,"27,842"
19Jan2023 3:00:00,"27,007"
19Jan2023 4:00:00,"26,941"
19Jan2023 5:00:00,"27,150"
19Jan2023 6:00:00,"27,727"
19Jan2023 7:00:00,"29,669"
19Jan2023 8:00:00,"32,150"
19Jan2023 9:00:00,"33,478"
19Jan2023 10:00:00,"32,587"
19Jan2023 11:00:00,"31,678"
19Jan2023 12:00:00,"30,723"
19Jan2023 13:00:00,"29,594"
19Jan2023 14:00:00,"29,000"
19Jan2023 15:00:00,"28,482"
19Jan2023 16:00:00,"28,480"
19Jan2023 17:00:00,"30,094"
19Jan2023 18:00:00,"32,350"
19Jan2023 19:00:00,"34,553"
19Jan2023 20:00:00,"35,042"
19Jan2023 21:00:00,"34,446"
19Jan2023 22:00:00,"33,605"
19Jan2023 23:00:00,"32,330"
20Jan2023 0:00:00,"30,842"
20Jan2023 1:00:00,"28,951"
20Jan2023 2:00:00,"27,925"
20Jan2023 3:00:00,"27,344"
20Jan2023 4:00:00,"27,326"
20Jan2023 5:00:00,"27,243"
20Jan2023 6:00:00,"27,715"
20Jan2023 7:00:00,"29,583"
20Jan2023 8:00:00,"32,073"
20Jan2023 9:00:00,"33,407"
20Jan2023 10:00:00,"32,529"
20Jan2023 11:00:00,"31,122"
20Jan2023 12:00:00,"29,541"
20Jan2023 13:00:00,"28,609"
20Jan2023 14:00:00,"28,037"
20Jan2023 15:00:00,"27,280"
20Jan2023 16:00:00,"26,688"
20Jan2023 17:00:00,"28,123"
20Jan2023 18:00:00,"30,386"
20Jan2023 19:00:00,"33,078"
20Jan2023 20:00:00,"33,682"
20Jan2023 21:00:00,"33,319"
20Jan2023 22:00:00,"32,753"
20Jan2023 23:00:00,"31,908"
21Jan2023 0:00:00,"30,830"
21Jan2023 1:00:00,"29,457"
21Jan2023 2:00:00,"28,218"
21Jan2023 3:00:00,"27,417"
21Jan2023 4:00:00,"26,701"
21Jan2023 5:00:00,"26,483"
21Jan2023 6:00:00,"26,879"
21Jan2023 7:00:00,"27,705"
21Jan2023 8:00:00,"28,770"
21Jan2023 9:00:00,"29,708"
21Jan2023 10:00:00,"29,645"
21Jan2023 11:00:00,"27,933"
21Jan2023 12:00:00,"26,573"
21Jan2023 13:00:00,"25,124"
21Jan2023 14:00:00,"24,404"
21Jan2023 15:00:00,"23,989"
